Id,PRP
0,37.133333
1,125.505556
2,14.991905
3,344.666667
4,55.333333
5,18.400000
6,68.283333
7,29.350000
8,60.466667
9,30.650000
10,88.733333
11,17.400000
12,334.633333
13,73.866667
14,160.816667
15,30.600000
16,25.333333
17,57.633333
18,30.666667
19,151.500000
20,79.700000
21,20.833333
22,56.066667
23,21.862910
24,124.955556
25,131.910000
26,63.925000
27,465.966667
28,23.800000
29,219.916667
30,169.351667
31,16.968254
32,61.806667
33,178.000000
34,36.100000
35,744.363333
36,25.366667
37,465.966667
38,32.300000
39,26.900000
40,169.351667
